Time, Throttle_RPM
0, 45000
150, 1500000
150+180, 120000
150+180+120, 90000
150+180+120+60, 60000
150+180+120+60+60, 90000
150+180+120+60+60+60, 120000
150+180+120+60+60+120, 150000
870+180, 120000
870+180+120, 90000
870+180+120+60, 60000
870+180+120+60+60, 90000
870+180+120+60+60+60, 120000
870+180+120+60+60+120, 150000
1410+180, 120000
1410+180+120, 90000
1410+180+120+60, 60000
1410+180+120+60+60, 90000
1410+180+120+60+60+60, 120000
1410+180+120+60+60+120, 150000
1950+180, 120000
1950+180+120, 90000
1950+180+120+60, 60000
1950+180+120+60+60, 90000
1950+180+120+60+60+60, 120000
1950+180+120+60+60+120, 150000
2490+180, 120000
2490+180+120, 90000
2490+180+120+60, 60000
2490+180+120+60+60, 90000
2490+180+120+60+60+60, 120000
2490+180+120+60+60+120, 150000
3030+180, 120000
3030+180+120, 90000
3030+180+120+60, 60000
3030+180+120+60+60, 90000
3030+180+120+60+60+60, 120000
3030+180+120+60+60+120, 150000
3030+180+120+60+60+120+180, 0
