Time, Throttle_RPM
0, 45000
150, 150000
150+180, 120000
150+180+120, 90000
150+180+120+60, 60000
150+180+120+60+60, 90000
150+180+120+60+60+60, 120000
150+180+120+60+60+60+120, 150000
750+180, 120000
750+180+120, 90000
750+180+120+60, 60000
750+180+120+60+60, 90000
750+180+120+60+60+60, 120000
750+180+120+60+60+60+120, 150000
1350+180, 120000
1350+180+120, 90000
1350+180+120+60, 60000
1350+180+120+60+60, 90000
1350+180+120+60+60+60, 120000
1350+180+120+60+60+60+120, 150000
1950+180, 120000
1950+180+120, 90000
1950+180+120+60, 60000
1950+180+120+60+60, 90000
1950+180+120+60+60+60, 120000
1950+180+120+60+60+60+120, 150000
2550+180, 120000
2550+180+120, 90000
2550+180+120+60, 60000
2550+180+120+60+60, 90000
2550+180+120+60+60+60, 120000
2550+180+120+60+60+60+120, 0
